% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 1 Hz, stop freq 1.000 kHz, RBW 4.883 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-06-10 T 16:00:47 +0200
% Frequency (Hz), Input 1 (Vpp)
4.973417768876e+02, 1.269758e-05
4.983351876338e+02, 1.284522e-05
4.993285983801e+02, 1.245150e-05
5.003220091263e+02, 1.087661e-05
5.013154198726e+02, 8.169759e-06
5.023088306189e+02, 4.577034e-06
5.033022413651e+02, 2.411555e-06
5.042956521114e+02, 5.758204e-06
5.052890628576e+02, 9.744653e-06
5.062824736039e+02, 1.304209e-05
5.072758843501e+02, 1.501070e-05
5.082692950964e+02, 1.574893e-05
5.092627058427e+02, 1.525678e-05
5.102561165889e+02, 1.437090e-05
5.112495273352e+02, 1.309130e-05
5.122429380814e+02, 1.210699e-05
5.132363488277e+02, 1.117190e-05
5.142297595739e+02, 8.612698e-06
5.152231703202e+02, 6.004281e-06
5.162165810664e+02, 1.318973e-05
5.172099918127e+02, 2.642868e-05
5.182034025590e+02, 4.011057e-05
5.191968133052e+02, 5.029816e-05
5.201902240515e+02, 5.408774e-05
5.211836347977e+02, 5.049502e-05
5.221770455440e+02, 4.084880e-05
5.231704562902e+02, 2.795436e-05
5.241638670365e+02, 1.589658e-05
5.251572777828e+02, 1.067975e-05
5.261506885290e+02, 1.373110e-05
5.271440992753e+02, 1.653638e-05
5.281375100215e+02, 1.693010e-05
5.291309207678e+02, 1.614266e-05
5.301243315140e+02, 1.624109e-05
5.311177422603e+02, 1.786520e-05
5.321111530066e+02, 2.057204e-05
5.331045637528e+02, 2.367262e-05
5.340979744991e+02, 2.682240e-05
5.350913852453e+02, 2.918474e-05
5.360847959916e+02, 3.007062e-05
5.370782067378e+02, 2.948004e-05
5.380716174841e+02, 2.815122e-05
5.390650282303e+02, 2.647789e-05
5.400584389766e+02, 2.490300e-05
5.410518497229e+02, 2.347575e-05
5.420452604691e+02, 2.234380e-05
5.430386712154e+02, 2.170400e-05
5.440320819616e+02, 2.160557e-05
5.450254927079e+02, 2.170400e-05
5.460189034541e+02, 2.131028e-05
5.470123142004e+02, 1.953852e-05
5.480057249467e+02, 1.594580e-05
5.489991356929e+02, 1.122112e-05
5.499925464392e+02, 7.480743e-06
5.509859571854e+02, 8.907991e-06
5.519793679317e+02, 1.368189e-05
5.529727786779e+02, 1.889872e-05
5.539661894242e+02, 2.342654e-05
5.549596001705e+02, 2.647789e-05
5.559530109167e+02, 2.731456e-05
5.569464216630e+02, 2.559202e-05
5.579398324092e+02, 2.229458e-05
5.589332431555e+02, 2.047361e-05
5.599266539017e+02, 2.303282e-05
5.609200646480e+02, 2.770828e-05
5.619134753942e+02, 3.056277e-05
5.629068861405e+02, 2.997219e-05
5.639002968868e+02, 2.603496e-05
5.648937076330e+02, 2.003067e-05
5.658871183793e+02, 1.358346e-05
5.668805291255e+02, 7.825251e-06
5.678739398718e+02, 3.641941e-06
5.688673506180e+02, 1.181170e-06
5.698607613643e+02, 7.874467e-07
5.708541721106e+02, 3.051356e-06
5.718475828568e+02, 5.561342e-06
5.728409936031e+02, 7.874467e-06
5.738344043493e+02, 9.350929e-06
5.748278150956e+02, 1.038445e-05
5.758212258418e+02, 1.077818e-05
5.768146365881e+02, 1.112268e-05
5.778080473344e+02, 1.156562e-05
5.788014580806e+02, 1.186092e-05
5.797948688269e+02, 1.166405e-05
5.807882795731e+02, 1.107347e-05
5.817816903194e+02, 1.077818e-05
5.827751010656e+02, 1.186092e-05
5.837685118119e+02, 1.496149e-05
5.847619225581e+02, 1.948931e-05
5.857553333044e+02, 2.362340e-05
5.867487440507e+02, 2.573966e-05
5.877421547969e+02, 2.505065e-05
5.887355655432e+02, 2.185165e-05
5.897289762894e+02, 1.742226e-05
5.907223870357e+02, 1.318973e-05
5.917157977819e+02, 9.597006e-06
5.927092085282e+02, 6.988589e-06
5.937026192745e+02, 7.382313e-06
5.946960300207e+02, 9.547791e-06
5.956894407670e+02, 9.941514e-06
5.966828515132e+02, 6.644081e-06
5.976762622595e+02, 8.858775e-07
5.986696730057e+02, 8.465052e-06
5.996630837520e+02, 1.569972e-05
6.006564944983e+02, 2.017832e-05
6.016499052445e+02, 2.190086e-05
6.026433159908e+02, 2.249145e-05
6.036367267370e+02, 2.293438e-05
6.046301374833e+02, 2.273752e-05
6.056235482295e+02, 2.140871e-05
6.066169589758e+02, 1.948931e-05
6.076103697220e+02, 1.771755e-05
6.086037804683e+02, 1.555207e-05
6.095971912146e+02, 1.240229e-05
6.105906019608e+02, 8.514267e-06
6.115840127071e+02, 7.431528e-06
6.125774234533e+02, 1.240229e-05
6.135708341996e+02, 1.973538e-05
6.145642449458e+02, 2.667476e-05
6.155576556921e+02, 3.144865e-05
6.165510664384e+02, 3.322041e-05
6.175444771846e+02, 3.164551e-05
6.185378879309e+02, 2.741299e-05
6.195312986771e+02, 2.160557e-05
6.205247094234e+02, 1.574893e-05
6.215181201696e+02, 1.166405e-05
6.225115309159e+02, 1.195935e-05
6.235049416622e+02, 1.619187e-05
6.244983524084e+02, 2.204851e-05
6.254917631547e+02, 2.785593e-05
6.264851739009e+02, 3.243296e-05
6.274785846472e+02, 3.533667e-05
6.284719953934e+02, 3.671470e-05
6.294654061397e+02, 3.715764e-05
6.304588168859e+02, 3.700999e-05
6.314522276322e+02, 3.651784e-05
6.324456383785e+02, 3.582882e-05
6.334390491247e+02, 3.513981e-05
6.344324598710e+02, 3.450001e-05
6.354258706172e+02, 3.341727e-05
6.364192813635e+02, 3.071042e-05
6.374126921097e+02, 2.554280e-05
6.384061028560e+02, 1.825892e-05
6.393995136023e+02, 1.097504e-05
6.403929243485e+02, 8.071328e-06
6.413863350948e+02, 1.063053e-05
6.423797458410e+02, 1.353424e-05
6.433731565873e+02, 1.545364e-05
6.443665673335e+02, 1.697932e-05
6.453599780798e+02, 1.845578e-05
6.463533888261e+02, 1.939087e-05
6.473467995723e+02, 1.934166e-05
6.483402103186e+02, 1.801284e-05
6.493336210648e+02, 1.569972e-05
6.503270318111e+02, 1.284522e-05
6.513204425573e+02, 1.058131e-05
6.523138533036e+02, 9.793868e-06
6.533072640498e+02, 9.646222e-06
6.543006747961e+02, 8.317405e-06
6.552940855424e+02, 5.019972e-06
6.562874962886e+02, 1.919401e-06
6.572809070349e+02, 6.102712e-06
6.582743177811e+02, 1.023681e-05
6.592677285274e+02, 1.279601e-05
6.602611392736e+02, 1.397718e-05
6.612545500199e+02, 1.466619e-05
6.622479607662e+02, 1.486306e-05
6.632413715124e+02, 1.427247e-05
6.642347822587e+02, 1.264836e-05
6.652281930049e+02, 9.941514e-06
6.662216037512e+02, 6.742512e-06
6.672150144974e+02, 3.888018e-06
6.682084252437e+02, 4.478603e-06
6.692018359900e+02, 8.711129e-06
6.701952467362e+02, 1.368189e-05
6.711886574825e+02, 1.801284e-05
6.721820682287e+02, 2.091655e-05
6.731754789750e+02, 2.185164e-05
6.741688897212e+02, 2.071969e-05
6.751623004675e+02, 1.761912e-05
6.761557112137e+02, 1.309130e-05
6.771491219600e+02, 8.022113e-06
6.781425327063e+02, 4.035664e-06
6.791359434525e+02, 5.413696e-06
6.801293541988e+02, 9.154067e-06
6.811227649450e+02, 1.225464e-05
6.821161756913e+02, 1.412482e-05
6.831095864375e+02, 1.456776e-05
6.841029971838e+02, 1.378032e-05
6.850964079301e+02, 1.235307e-05
